Items,PurQTY,PurVALUE,SalesQTY,SalesVALUE,ClosQTY,CloVALUE,M.EXP,OpenQTY,OpenVALUE,RecQTY,RecVALUE,SalesDate
DUOVA INHALER 1S,6,2987.2,6,3620.84,0,0,0,0,0,6,2987.2,2023-03-27
* 15ML,12,584.76,12,0,0,0,0,12,584.76,0,0,2023-03-06
**** 10S,560,7700,560,20057.94,0,0,0,50,687.5,510,7012.5,2023-03-15
10% DEXTROSE 500ML,18,732.06,0,0,18,732.06,24-Jul,18,732.06,0,0,2022-03-10
10% DEXTROSE 500ML 500ML,1735,41535.9,1367,31582.23,368,8809.92,24-Aug,342,8187.48,1393,33348.42,2022-06-05
12KA4 5GM,524,2602.18,524,2629.53,0,0,0,524,2602.18,0,0,2022-11-20
2 IN 1 CUP(SIPPER) 1S,23,2007.67,23,2469.24,0,0,0,12,1047.48,11,960.19,2023-01-22
2 MET TAB 10S,6,290.16,6,294,0,0,0,0,0,6,290.16,2022-11-14
25% DEXTROSE 100ML,355,4970,355,5698.22,0,0,0,0,0,355,4970,2023-10-10
25% DEXTROSE INJ 100ML,3500,42000,1581,21379.33,1919,23028,24-Mar,0,0,3500,42000,2022-04-25
25% DEXTROSE INJ 100ML.,14151,193161.15,14151,192072.92,0,0,0,751,10251.15,13400,182910,2023-03-05
25%DEXTROSE 100ML 100ML,1002,14028,1002,14030,0,0,0,2,28,1000,14000,2023-03-12
3A-100DT TAB 3S,1015,13996.85,916,10449.84,99,1365.21,24-Aug,106,1461.74,909,12535.11,2023-10-06
3A-250 10S,386,29405.48,281,18790.08,105,7998.9,24-Sep,120,9141.6,266,20263.88,2022-02-03
3A-250 TAB 6S,-8,-354.88,-8,0,0,0,0,1,44.36,-9,-399.24,2022-01-03
3A-500 TAB 3S,2,88.86,2,49.36,0,0,0,2,88.86,0,0,2023-07-04
3A-500 TAB 5S,851,65373.82,636,44131.12,215,16516.3,24-Aug,311,23891.02,540,41482.8,2023-11-20
4QUIN-D UNI-E/D 0.4ML 2*5S,22,3928.54,11,1071.48,11,1964.27,24-Aug,0,0,22,3928.54,2022-12-10
4QUIN D EYE DROPS 5ML,797,51358.17,612,44265.84,185,13214.55,24-Oct,7,500.01,790,50858.16,2023-08-16
4QUIN EYE DROPS 5ML,432,47803.47,392,41878.13,40,4457.2,24-Oct,61,6797.23,371,41006.24,2023-01-22
4QUIN EYE OINTMENT 5GM,179,12818.52,128,10478.59,51,4571.64,24-Oct,20,1792.8,159,11025.72,2023-01-06
4QUIN KT E/D 5ML,0,0,0,0,0,0,0,24,1865.04,-24,-1865.04,2022-09-28
4QUIN LOT EYE DROPS 5ML,103,14714.58,73,9238.64,30,4285.8,23-Sep,22,3142.92,81,11571.66,2023-11-17
4QUIN PFS 0.5ML 1PFS,256,48802.5,218,47965.13,38,7695,23-Feb,35,7087.5,221,41715,2022-01-08
5 MONO-10MG TAB 10S,40,195.2,10,68.5,30,146.4,23-Sep,0,0,40,195.2,2023-07-12
5% DEXTROSE 500 ML,402,6500.34,401,7681.7,1,16.17,24-Jul,352,5691.84,50,808.5,2023-09-03
5% DEXTROSE 500ML 500ML,7248,151628.16,7181,152910.67,67,1401.64,25-Sep,693,14497.56,6555,137130.6,2022-11-09
5% DEXTROSE GLASS 500ML,24,852,24,872.4,0,0,0,0,0,24,852,2023-08-31
5% DEXTROSE LP 500ML,20,480,0,0,20,480,23-Jun,0,0,20,480,2022-01-24
5% DEXTROSE-500ML 1S,500,8325,435,8278.75,65,1082.25,24-Sep,0,0,500,8325,2023-03-14
50% DEXTROSE 100ML,1,0,1,0,0,0,0,0,0,1,0,2023-11-13
A TO Z TAB 15S,0,0,0,0,0,0,0,0,0,0,0,2022-06-06
A-ONE CUP(SIPPER) 1S,16,989.76,16,1244.55,0,0,0,16,989.76,0,0,2023-05-26
A.S.V.S INJ 10ML,232,88160,156,54976.57,76,28880,26-Jun,100,38000,132,50160,2023-06-25
A.S.V.S WITH STERI WTR FOR IN 1S,50,16500,47,20761.29,3,990,26-Jul,0,0,50,16500,2023-10-08
AARSOL INJ 1000MG,11,2420,11,10120,0,0,0,11,2420,0,0,2023-03-25
AB-PRESS EYE DROPS 5ML,51,10928.79,30,6971.48,21,4500.09,24-Sep,15,3214.35,36,7714.44,2022-07-26
ABAFIX INFUSION SET-HM PACK 1S,600,3600,0,0,600,3600,24-Oct,0,0,600,3600,2022-07-15
ABAFIX INFUSTION SET-RIBBON 1S,500,3950,0,0,500,3950,24-Nov,0,0,500,3950,2023-10-25
ABALYTE P 500ML,1163,28342.31,1139,34093.13,24,584.88,24-Sep,463,11283.31,700,17059,2022-12-31
ABAMOL IV 100ML.,10792,304226.48,9483,440560.92,1309,36900.71,24-Apr,1707,48120.33,9085,256106.15,2022-06-23
ABATIDE-2ML INJ 1S,26910,56511,25573,71882,1337,2807.7,24-May,9390,19719,17520,36792,2022-06-23
ABAZOLE INFUSION 100ML,27513,302918.13,27513,368462.33,0,0,0,513,5648.13,27000,297270,2023-05-14
ABHAY TOX 0.5ML(TT AMPOULE) 0.5ML,12240,97920,9050,85367.34,3190,25520,25-Aug,0,0,12240,97920,2023-08-17
ABHAYRAB INJ 0.5ML,235,59925,235,69458.25,0,0,0,25,6375,210,53550,2022-07-24
ABICID-DM TAB 10S,312,3363.36,312,3215.6,0,0,0,312,3363.36,0,0,2023-01-20
ABICLAV-375 TAB 10S,1085,68626.25,902,94625.15,183,11574.75,24-Jan,135,8538.75,950,60087.5,2023-05-29
ABICLAV-CL 228.5 SYP 30ML,2574,69369.3,2271,93754.13,303,8165.85,24-May,472,12720.4,2102,56648.9,2022-11-28
